loan_id,user_id,library_id,book_id,loan_date,due_date,return_date
50,26,4,162,2022-02-19,2022-03-05,2022-03-03
51,19,1,34,2021-10-04,2021-10-18,2021-10-18
52,8,3,196,2021-06-27,2021-07-11,2021-07-03
53,15,2,123,2022-12-07,2022-12-21,2022-12-17
54,3,2,0,2022-10-12,2022-10-26,2022-10-24
55,3,3,41,2022-03-30,2022-04-13,2022-04-08
56,13,3,16,2024-03-08,2024-03-22,2024-03-20
57,7,3,191,2024-05-05,2024-05-19,2024-05-18
58,21,2,180,2023-04-21,2023-05-05,2023-04-26
59,21,0,92,2021-10-29,2021-11-12,2021-11-06
60,23,0,192,2022-11-01,2022-11-15,2022-11-12
61,26,0,128,2022-05-14,2022-05-28,2022-05-27
62,10,2,3,2022-02-13,2022-02-27,2022-02-23
63,6,4,36,2024-01-10,2024-01-24,2024-01-18
64,17,1,118,2023-10-10,2023-10-24,2023-10-18
65,2,2,154,2021-12-03,2021-12-17,2021-12-09
66,28,0,0,2023-12-02,2023-12-16,2023-12-12
67,18,1,110,2021-12-02,2021-12-16,2021-12-09
68,8,2,114,2021-05-31,2021-06-14,2021-06-14
69,10,0,140,2024-05-04,2024-05-18,2024-05-18
70,5,1,73,2021-10-27,2021-11-10,2021-11-06
71,29,4,42,2022-12-05,2022-12-19,2022-12-15
72,12,0,34,2022-02-07,2022-02-21,2022-02-18
73,7,0,114,2022-05-17,2022-05-31,2022-05-23
74,14,0,8,2023-01-30,2023-02-13,2023-02-13
75,21,1,21,2021-07-26,2021-08-09,2021-08-04
76,11,0,37,2023-08-15,2023-08-29,2023-08-26
77,15,4,196,2021-06-13,2021-06-27,2021-06-20
78,0,2,40,2023-07-23,2023-08-06,2023-08-05
79,0,1,14,2022-11-07,2022-11-21,2022-11-13
80,19,1,184,2021-06-25,2021-07-09,2021-07-02
81,10,4,32,2021-12-26,2022-01-09,2022-01-03
82,29,3,94,2023-08-31,2023-09-14,2023-09-06
83,13,1,160,2022-05-15,2022-05-29,2022-05-28
84,11,2,14,2021-06-23,2021-07-07,2021-07-05
85,20,2,82,2024-01-22,2024-02-05,2024-01-29
86,18,3,15,2022-09-27,2022-10-11,2022-10-05
87,20,3,50,2022-07-02,2022-07-16,2022-07-07
88,18,4,106,2024-02-25,2024-03-10,2024-03-10
89,26,3,194,2023-03-26,2023-04-09,2023-04-04
90,29,0,43,2023-07-05,2023-07-19,2023-07-14
91,13,2,84,2023-06-23,2023-07-07,2023-06-28
92,8,3,53,2021-06-24,2021-07-08,2021-07-07
93,25,4,44,2023-08-14,2023-08-28,2023-08-28
94,17,1,62,2024-04-13,2024-04-27,2024-04-24
95,29,0,151,2021-10-30,2021-11-13,2021-11-07
96,9,4,160,2023-05-31,2023-06-14,2023-06-10
97,12,2,4,2023-12-07,2023-12-21,2023-12-21
98,7,4,100,2021-06-26,2021-07-10,2021-07-02
99,14,2,113,2023-12-18,2024-01-01,2023-12-25
100,25,3,42,2022-09-01,2022-09-15,2022-09-09
101,6,2,25,2024-04-15,2024-04-29,2024-04-20
102,16,3,190,2023-06-19,2023-07-03,2023-07-02
103,13,3,107,2023-11-14,2023-11-28,2023-11-21
104,8,3,16,2021-09-08,2021-09-22,2021-09-21
105,8,0,78,2022-09-24,2022-10-08,2022-09-30
106,28,1,33,2022-01-17,2022-01-31,2022-01-30
107,12,0,20,2023-07-03,2023-07-17,2023-07-11
108,16,3,69,2021-10-28,2021-11-11,2021-11-03
109,10,1,132,2021-12-26,2022-01-09,2022-01-02
110,17,4,190,2021-10-07,2021-10-21,2021-10-16
111,15,1,35,2023-06-30,2023-07-14,2023-07-06
112,16,4,85,2023-05-13,2023-05-27,2023-05-20
113,8,4,180,2021-11-10,2021-11-24,2021-11-22
114,20,2,51,2022-03-17,2022-03-31,2022-03-31
115,27,3,24,2023-01-13,2023-01-27,2023-01-24
116,25,0,179,2022-01-13,2022-01-27,2022-01-26
117,22,2,3,2021-08-18,2021-09-01,2021-08-27
118,0,3,191,2024-02-09,2024-02-23,2024-02-14
119,29,0,75,2023-05-09,2023-05-23,2023-05-19
120,11,3,97,2023-06-28,2023-07-12,2023-07-10
121,13,2,50,2023-08-09,2023-08-23,2023-08-20
122,12,0,19,2021-11-26,2021-12-10,2021-12-08
123,13,2,57,2023-04-26,2023-05-10,2023-05-02
124,23,4,34,2022-07-18,2022-08-01,2022-07-25
125,13,3,187,2023-08-19,2023-09-02,2023-09-02
126,17,0,58,2022-12-26,2023-01-09,2023-01-01
127,10,3,36,2023-05-15,2023-05-29,2023-05-23
128,21,4,170,2021-06-08,2021-06-22,2021-06-17
129,28,4,125,2023-11-27,2023-12-11,2023-12-02
130,20,2,104,2023-07-24,2023-08-07,2023-08-04
131,21,0,106,2023-10-09,2023-10-23,2023-10-15
132,25,0,119,2023-05-11,2023-05-25,2023-05-17
133,27,0,166,2023-08-18,2023-09-01,2023-08-23
134,21,0,52,2023-07-28,2023-08-11,2023-08-08
135,17,1,144,2023-07-09,2023-07-23,2023-07-15
136,6,0,78,2023-11-15,2023-11-29,2023-11-29
137,10,1,21,2023-08-29,2023-09-12,2023-09-11
138,6,3,151,2023-08-20,2023-09-03,2023-08-25
139,25,1,156,2022-07-31,2022-08-14,2022-08-10
140,12,2,13,2022-02-26,2022-03-12,2022-03-09
141,23,1,66,2023-11-03,2023-11-17,2023-11-15
142,19,2,123,2024-01-25,2024-02-08,2024-02-08
143,4,2,176,2022-08-28,2022-09-11,2022-09-03
144,13,3,10,2021-12-30,2022-01-13,2022-01-09
145,10,3,105,2022-11-21,2022-12-05,2022-12-04
146,1,0,121,2022-05-12,2022-05-26,2022-05-26
147,6,1,72,2023-01-17,2023-01-31,2023-01-27
148,23,4,128,2022-08-22,2022-09-05,2022-09-02
149,6,4,119,2022-06-30,2022-07-14,2022-07-12
150,4,4,195,2023-09-20,2023-10-04,2023-10-01
151,5,0,9,2023-08-19,2023-09-02,2023-08-25
152,15,3,190,2022-11-10,2022-11-24,2022-11-15
153,1,4,51,2023-12-24,2024-01-07,2024-01-06
154,14,3,115,2023-08-30,2023-09-13,2023-09-09
155,0,2,19,2022-05-12,2022-05-26,2022-05-19
156,12,3,106,2022-04-23,2022-05-07,2022-05-03
157,14,0,23,2021-10-12,2021-10-26,2021-10-17
158,5,0,95,2024-01-08,2024-01-22,2024-01-17
159,17,3,13,2021-07-07,2021-07-21,2021-07-17
160,27,4,142,2023-10-25,2023-11-08,2023-11-08
161,8,3,139,2021-06-04,2021-06-18,2021-06-18
162,18,2,134,2024-05-07,2024-05-21,2024-05-20
163,29,3,24,2021-10-25,2021-11-08,2021-11-01
164,20,3,125,2022-11-05,2022-11-19,2022-11-16
165,25,0,131,2021-12-25,2022-01-08,2021-12-30
166,25,4,188,2022-08-14,2022-08-28,2022-08-28
167,20,2,72,2023-07-09,2023-07-23,2023-07-17
168,26,0,87,2022-07-11,2022-07-25,2022-07-24
169,28,1,53,2024-03-03,2024-03-17,2024-03-12
170,15,1,25,2023-12-26,2024-01-09,2024-01-03
171,15,0,30,2023-11-23,2023-12-07,2023-11-29
172,6,4,32,2022-03-15,2022-03-29,2022-03-24
173,12,0,62,2023-11-17,2023-12-01,2023-12-01
174,26,4,62,2022-09-05,2022-09-19,2022-09-17
175,18,4,158,2024-03-28,2024-04-11,2024-04-03
176,13,2,157,2022-12-27,2023-01-10,2023-01-04
177,0,1,135,2022-12-03,2022-12-17,2022-12-14
178,22,0,10,2022-09-07,2022-09-21,2022-09-12
179,10,4,37,2022-06-23,2022-07-07,2022-07-01
180,15,2,168,2021-07-07,2021-07-21,2021-07-16
181,3,1,160,2023-10-23,2023-11-06,2023-10-28
182,22,1,60,2023-06-04,2023-06-18,2023-06-16
183,6,4,21,2022-04-02,2022-04-16,2022-04-10
184,26,1,8,2024-05-12,2024-05-26,2024-05-18
185,2,3,144,2023-04-23,2023-05-07,2023-04-29
186,26,1,178,2023-06-13,2023-06-27,2023-06-24
187,13,3,100,2022-06-10,2022-06-24,2022-06-21
188,12,0,117,2021-08-03,2021-08-17,2021-08-14
189,9,0,160,2023-12-22,2024-01-05,2024-01-02
190,22,4,140,2023-12-10,2023-12-24,2023-12-23
191,23,3,106,2024-03-06,2024-03-20,2024-03-11
192,21,1,68,2022-01-24,2022-02-07,2022-02-05
193,0,3,138,2021-09-15,2021-09-29,2021-09-26
194,8,4,107,2022-02-03,2022-02-17,2022-02-17
195,20,4,138,2022-12-27,2023-01-10,2023-01-02
196,1,1,181,2023-04-13,2023-04-27,2023-04-22
197,4,1,22,2022-08-25,2022-09-08,2022-09-03
198,12,0,128,2022-05-25,2022-06-08,2022-05-30
199,14,0,6,2021-07-15,2021-07-29,2021-07-27
200,13,2,11,2022-07-25,2022-08-08,2022-08-03
201,5,1,8,2023-07-27,2023-08-10,2023-08-05
202,8,1,18,2022-08-31,2022-09-14,2022-09-09
203,24,1,191,2024-04-18,2024-05-02,2024-04-24
204,18,3,173,2023-04-12,2023-04-26,2023-04-26
205,10,0,63,2023-11-15,2023-11-29,2023-11-28
206,15,2,19,2021-06-29,2021-07-13,2021-07-07
207,26,1,48,2022-03-28,2022-04-11,2022-04-05
208,16,1,133,2021-08-28,2021-09-11,2021-09-08
209,11,0,54,2023-11-08,2023-11-22,2023-11-13
210,21,3,171,2024-02-22,2024-03-07,2024-03-03
211,8,1,25,2023-11-27,2023-12-11,2023-12-08
212,8,3,40,2021-08-02,2021-08-16,2021-08-09
213,25,1,187,2021-05-26,2021-06-09,2021-05-31
214,23,2,143,2023-08-22,2023-09-05,2023-09-02
215,20,4,129,2022-03-30,2022-04-13,2022-04-10
216,9,0,47,2023-07-27,2023-08-10,2023-08-09
217,26,2,187,2024-04-23,2024-05-07,2024-05-07
218,9,1,147,2022-05-15,2022-05-29,2022-05-20
219,10,1,22,2022-11-24,2022-12-08,2022-12-02
220,15,4,1,2022-02-06,2022-02-20,2022-02-12
221,1,3,126,2023-12-24,2024-01-07,2024-01-02
222,24,2,152,2021-12-23,2022-01-06,2021-12-29
223,17,2,102,2022-08-25,2022-09-08,2022-09-01
224,6,1,106,2021-06-12,2021-06-26,2021-06-18
225,9,0,171,2022-10-16,2022-10-30,2022-10-27
226,10,0,149,2024-02-08,2024-02-22,2024-02-17
227,29,2,173,2023-12-26,2024-01-09,2024-01-07
228,17,1,156,2023-07-19,2023-08-02,2023-07-31
229,15,4,89,2024-01-06,2024-01-20,2024-01-17
230,25,1,29,2022-01-01,2022-01-15,2022-01-13
231,26,0,63,2022-12-21,2023-01-04,2023-01-03
232,28,4,104,2024-01-26,2024-02-09,2024-02-08
233,26,1,179,2021-12-23,2022-01-06,2022-01-06
234,25,1,122,2021-11-01,2021-11-15,2021-11-09
235,11,4,44,2023-03-20,2023-04-03,2023-03-29
236,16,4,157,2023-04-05,2023-04-19,2023-04-19
237,12,2,52,2022-06-01,2022-06-15,2022-06-10
238,17,0,73,2024-05-01,2024-05-15,2024-05-10
239,24,4,164,2022-01-31,2022-02-14,2022-02-13
240,16,0,83,2021-05-21,2021-06-04,2021-05-30
241,3,4,123,2021-08-12,2021-08-26,2021-08-20
242,11,2,33,2023-12-12,2023-12-26,2023-12-17
243,13,3,159,2022-11-10,2022-11-24,2022-11-18
244,20,2,27,2023-05-02,2023-05-16,2023-05-15
245,29,1,1,2022-02-11,2022-02-25,2022-02-22
246,28,0,101,2023-11-17,2023-12-01,2023-11-29
247,4,3,88,2022-10-03,2022-10-17,2022-10-13
248,24,4,48,2021-11-17,2021-12-01,2021-11-25
249,21,1,161,2022-06-24,2022-07-08,2022-07-01
250,14,4,167,2023-11-15,2023-11-29,2023-11-27
251,15,2,172,2022-09-08,2022-09-22,2022-09-14
252,23,0,145,2023-01-19,2023-02-02,2023-01-31
253,23,1,60,2023-09-24,2023-10-08,2023-10-04
254,23,4,134,2023-11-21,2023-12-05,2023-11-30
255,14,2,104,2021-11-14,2021-11-28,2021-11-27
256,26,3,65,2023-05-27,2023-06-10,2023-06-02
257,13,4,60,2024-04-25,2024-05-09,2024-05-07
258,9,3,183,2022-03-05,2022-03-19,2022-03-16
259,9,2,83,2022-05-26,2022-06-09,2022-06-05
260,23,2,69,2022-08-21,2022-09-04,2022-08-27
261,1,1,153,2022-09-23,2022-10-07,2022-10-04
262,6,4,50,2023-05-31,2023-06-14,2023-06-10
263,27,2,138,2022-07-30,2022-08-13,2022-08-10
264,11,1,144,2022-09-11,2022-09-25,2022-09-18
265,16,1,32,2021-07-10,2021-07-24,2021-07-23
266,11,0,28,2022-10-31,2022-11-14,2022-11-08
267,11,2,181,2022-02-08,2022-02-22,2022-02-17
268,2,1,30,2023-10-25,2023-11-08,2023-11-08
269,3,0,69,2022-11-30,2022-12-14,2022-12-10
270,25,3,20,2023-11-25,2023-12-09,2023-12-04
271,29,4,104,2021-06-25,2021-07-09,2021-07-09
272,25,4,199,2022-11-22,2022-12-06,2022-11-28
273,3,3,132,2022-07-10,2022-07-24,2022-07-21
274,7,4,197,2022-01-13,2022-01-27,2022-01-27
275,27,0,53,2023-06-02,2023-06-16,2023-06-12
276,22,4,91,2023-02-24,2023-03-10,2023-03-07
277,22,4,52,2024-03-14,2024-03-28,2024-03-20
278,6,3,41,2022-08-21,2022-09-04,2022-09-04
279,24,3,37,2022-11-30,2022-12-14,2022-12-12
280,15,1,179,2022-11-07,2022-11-21,2022-11-12
281,11,2,60,2023-08-10,2023-08-24,2023-08-24
282,6,3,162,2023-05-21,2023-06-04,2023-05-29
283,25,2,162,2022-12-09,2022-12-23,2022-12-20
284,18,2,88,2022-01-10,2022-01-24,2022-01-18
285,1,1,9,2023-02-11,2023-02-25,2023-02-17
286,8,4,117,2022-12-07,2022-12-21,2022-12-13
287,13,0,100,2022-11-18,2022-12-02,2022-11-25
288,23,1,18,2024-01-25,2024-02-08,2024-02-01
289,26,0,186,2023-05-24,2023-06-07,2023-05-30
290,13,1,38,2023-09-07,2023-09-21,2023-09-20
291,11,2,167,2024-01-05,2024-01-19,2024-01-19
292,27,3,31,2021-11-17,2021-12-01,2021-11-28
293,15,4,184,2021-10-03,2021-10-17,2021-10-16
294,13,1,38,2023-04-08,2023-04-22,2023-04-15
295,25,4,1,2021-07-11,2021-07-25,2021-07-19
296,20,3,148,2021-08-29,2021-09-12,2021-09-05
297,24,1,108,2022-05-19,2022-06-02,2022-05-27
298,7,2,161,2023-11-01,2023-11-15,2023-11-07
299,13,0,140,2023-07-17,2023-07-31,2023-07-23
300,28,3,103,2021-10-31,2021-11-14,2021-11-13
301,0,1,55,2021-08-16,2021-08-30,2021-08-21
302,13,2,63,2022-02-24,2022-03-10,2022-03-04
303,18,3,159,2023-12-21,2024-01-04,2024-01-04
304,9,2,88,2023-01-06,2023-01-20,2023-01-16
305,12,4,100,2022-09-11,2022-09-25,2022-09-22
306,15,0,153,2024-03-23,2024-04-06,2024-03-30
307,14,4,48,2024-04-08,2024-04-22,2024-04-17
308,16,4,87,2022-12-05,2022-12-19,2022-12-19
309,16,4,106,2022-03-01,2022-03-15,2022-03-10
310,8,4,5,2022-08-08,2022-08-22,2022-08-16
311,6,4,58,2022-04-08,2022-04-22,2022-04-15
312,21,4,35,2024-03-16,2024-03-30,2024-03-21
313,6,4,76,2023-11-14,2023-11-28,2023-11-28
314,2,2,21,2023-01-31,2023-02-14,2023-02-06
315,2,3,104,2021-09-19,2021-10-03,2021-10-02
316,6,1,130,2024-01-11,2024-01-25,2024-01-23
317,19,1,109,2022-01-13,2022-01-27,2022-01-24
318,5,1,112,2023-11-09,2023-11-23,2023-11-22
319,25,1,89,2024-04-04,2024-04-18,2024-04-12
320,13,3,192,2023-01-19,2023-02-02,2023-01-27
321,8,2,17,2021-06-15,2021-06-29,2021-06-20
322,12,2,29,2023-08-23,2023-09-06,2023-09-02
323,9,3,30,2022-02-26,2022-03-12,2022-03-12
324,2,3,43,2023-12-21,2024-01-04,2023-12-26
325,29,0,2,2023-02-22,2023-03-08,2023-03-07
326,12,1,39,2023-05-22,2023-06-05,2023-05-30
327,24,0,52,2022-06-04,2022-06-18,2022-06-12
328,7,4,178,2021-12-05,2021-12-19,2021-12-15
329,3,0,74,2024-04-04,2024-04-18,2024-04-12
330,8,2,183,2023-07-06,2023-07-20,2023-07-12
331,22,4,87,2022-08-05,2022-08-19,2022-08-16
332,20,2,163,2021-07-17,2021-07-31,2021-07-27
333,6,2,75,2022-07-23,2022-08-06,2022-08-04
334,1,3,126,2022-02-28,2022-03-14,2022-03-08
335,21,2,197,2022-01-08,2022-01-22,2022-01-22
336,20,2,83,2023-08-26,2023-09-09,2023-09-05
337,8,0,101,2022-08-06,2022-08-20,2022-08-16
338,17,0,14,2022-04-03,2022-04-17,2022-04-15
339,13,4,184,2022-02-26,2022-03-12,2022-03-05
340,27,4,129,2023-01-10,2023-01-24,2023-01-23
341,14,3,6,2022-05-29,2022-06-12,2022-06-08
342,3,1,17,2021-10-15,2021-10-29,2021-10-24
343,4,1,49,2023-04-30,2023-05-14,2023-05-05
344,28,0,114,2024-01-09,2024-01-23,2024-01-14
345,8,3,25,2022-01-01,2022-01-15,2022-01-06
346,9,3,108,2023-09-13,2023-09-27,2023-09-26
347,14,3,40,2023-06-21,2023-07-05,2023-07-05
348,9,0,129,2023-09-06,2023-09-20,2023-09-13
349,13,4,192,2022-07-19,2022-08-02,2022-07-30
350,6,1,67,2023-01-05,2023-01-19,2023-01-12
351,20,4,46,2023-01-20,2023-02-03,2023-01-26
352,22,1,169,2021-05-24,2021-06-07,2021-06-06
353,6,2,51,2021-09-23,2021-10-07,2021-10-03
354,10,0,126,2022-11-26,2022-12-10,2022-12-08
355,23,0,186,2023-05-13,2023-05-27,2023-05-25
356,7,4,75,2023-05-27,2023-06-10,2023-06-05
357,8,2,131,2023-06-06,2023-06-20,2023-06-15
358,27,4,119,2022-07-06,2022-07-20,2022-07-14
359,11,2,188,2022-05-30,2022-06-13,2022-06-13
360,26,0,139,2022-01-18,2022-02-01,2022-01-29
361,26,2,104,2022-08-27,2022-09-10,2022-09-09
362,24,4,101,2021-12-28,2022-01-11,2022-01-02
363,15,0,175,2024-02-27,2024-03-12,2024-03-11
364,28,1,181,2021-12-16,2021-12-30,2021-12-30
365,22,1,49,2022-08-02,2022-08-16,2022-08-09
366,15,3,137,2024-04-01,2024-04-15,2024-04-15
367,14,4,177,2021-08-20,2021-09-03,2021-08-26
368,16,0,26,2021-07-25,2021-08-08,2021-08-05
369,15,3,99,2021-08-22,2021-09-05,2021-09-04
370,26,3,51,2021-11-30,2021-12-14,2021-12-08
371,24,0,131,2024-01-30,2024-02-13,2024-02-09
372,1,4,181,2021-05-25,2021-06-08,2021-06-02
373,18,3,98,2023-02-22,2023-03-08,2023-03-05
374,25,4,142,2023-12-17,2023-12-31,2023-12-28
375,10,1,155,2023-06-08,2023-06-22,2023-06-19
376,22,3,57,2021-07-03,2021-07-17,2021-07-15
377,16,3,122,2021-08-23,2021-09-06,2021-09-06
378,0,0,134,2022-12-28,2023-01-11,2023-01-05
379,4,0,84,2023-03-22,2023-04-05,2023-03-28
380,1,3,14,2022-01-17,2022-01-31,2022-01-28
381,13,0,5,2023-10-18,2023-11-01,2023-10-31
382,15,4,107,2021-06-08,2021-06-22,2021-06-21
383,7,0,15,2023-07-07,2023-07-21,2023-07-20
384,7,2,177,2023-01-11,2023-01-25,2023-01-19
385,5,4,48,2023-09-13,2023-09-27,2023-09-25
386,28,1,37,2022-05-23,2022-06-06,2022-05-30
387,27,0,144,2021-08-27,2021-09-10,2021-09-03
388,23,1,57,2021-11-29,2021-12-13,2021-12-05
389,13,3,138,2021-07-01,2021-07-15,2021-07-06
390,8,2,13,2024-01-24,2024-02-07,2024-02-03
391,20,4,58,2021-09-05,2021-09-19,2021-09-18
392,25,1,43,2023-09-24,2023-10-08,2023-10-05
393,18,4,113,2024-03-28,2024-04-11,2024-04-05
394,13,3,12,2021-06-28,2021-07-12,2021-07-05
395,24,2,197,2022-03-06,2022-03-20,2022-03-11
396,0,2,6,2023-02-03,2023-02-17,2023-02-13
397,12,4,171,2021-09-20,2021-10-04,2021-09-25
398,23,0,173,2023-10-19,2023-11-02,2023-10-24
399,25,3,183,2023-08-09,2023-08-23,2023-08-15
400,11,1,157,2023-01-06,2023-01-20,2023-01-11
401,20,2,92,2023-02-18,2023-03-04,2023-03-03
402,24,3,157,2023-07-03,2023-07-17,2023-07-08
403,11,2,112,2023-07-19,2023-08-02,2023-07-31
404,26,2,82,2022-08-02,2022-08-16,2022-08-13
405,26,1,151,2022-09-28,2022-10-12,2022-10-03
406,0,0,94,2023-08-03,2023-08-17,2023-08-14
407,9,0,122,2023-09-13,2023-09-27,2023-09-18
408,26,3,30,2021-10-15,2021-10-29,2021-10-27
409,16,3,99,2022-03-01,2022-03-15,2022-03-08
410,16,2,26,2022-01-03,2022-01-17,2022-01-10
411,4,3,52,2023-06-14,2023-06-28,2023-06-26
412,25,2,134,2022-08-11,2022-08-25,2022-08-20
413,1,4,182,2024-04-12,2024-04-26,2024-04-19
414,6,2,187,2023-07-12,2023-07-26,2023-07-26
415,24,4,32,2022-09-04,2022-09-18,2022-09-11
416,9,4,188,2023-12-09,2023-12-23,2023-12-20
417,16,3,105,2022-09-24,2022-10-08,2022-10-04
418,15,0,13,2024-03-18,2024-04-01,2024-03-28
419,21,1,117,2022-04-29,2022-05-13,2022-05-08
420,2,0,34,2022-08-28,2022-09-11,2022-09-07
421,6,2,117,2023-01-24,2023-02-07,2023-02-04
422,0,0,57,2022-11-14,2022-11-28,2022-11-20
423,27,0,45,2023-03-11,2023-03-25,2023-03-16
424,24,1,162,2021-10-22,2021-11-05,2021-11-01
425,3,0,135,2021-07-13,2021-07-27,2021-07-20
426,13,2,87,2022-11-09,2022-11-23,2022-11-14
427,9,2,176,2021-06-14,2021-06-28,2021-06-25
428,25,0,197,2021-09-07,2021-09-21,2021-09-15
429,9,1,32,2023-10-31,2023-11-14,2023-11-09
430,18,0,85,2023-09-20,2023-10-04,2023-09-26
431,11,0,130,2022-05-13,2022-05-27,2022-05-26
432,9,1,174,2023-04-08,2023-04-22,2023-04-19
433,9,4,27,2023-12-04,2023-12-18,2023-12-17
434,22,0,35,2024-02-24,2024-03-09,2024-03-06
435,4,3,11,2022-06-13,2022-06-27,2022-06-20
436,21,1,119,2023-09-23,2023-10-07,2023-10-01
437,18,1,94,2024-02-02,2024-02-16,2024-02-12
438,4,1,84,2022-08-10,2022-08-24,2022-08-21
439,15,0,32,2024-01-31,2024-02-14,2024-02-11
440,21,3,104,2023-10-19,2023-11-02,2023-10-27
441,25,1,28,2022-05-29,2022-06-12,2022-06-10
442,15,2,181,2022-02-20,2022-03-06,2022-02-26
443,0,2,136,2022-12-23,2023-01-06,2023-01-05
444,15,0,26,2021-09-18,2021-10-02,2021-09-24
445,4,1,85,2021-12-19,2022-01-02,2021-12-27
446,3,0,145,2024-05-15,2024-05-29,2024-05-20
447,2,3,73,2023-03-11,2023-03-25,2023-03-23
448,9,3,31,2023-04-08,2023-04-22,2023-04-21
449,29,4,38,2022-09-27,2022-10-11,2022-10-02
450,25,4,150,2021-06-29,2021-07-13,2021-07-04
451,8,2,57,2022-03-26,2022-04-09,2022-04-04
452,13,4,0,2023-11-01,2023-11-15,2023-11-09
453,1,2,53,2021-08-20,2021-09-03,2021-08-31
454,6,2,18,2022-11-18,2022-12-02,2022-11-29
455,6,0,197,2022-10-17,2022-10-31,2022-10-26
456,1,0,126,2024-03-01,2024-03-15,2024-03-11
457,23,2,50,2023-07-19,2023-08-02,2023-07-28
458,17,4,48,2022-04-18,2022-05-02,2022-04-29
459,17,2,159,2021-09-08,2021-09-22,2021-09-19
460,11,1,28,2023-11-16,2023-11-30,2023-11-25
461,0,4,156,2023-07-09,2023-07-23,2023-07-21
462,18,0,26,2021-06-23,2021-07-07,2021-06-30
463,1,0,79,2023-11-22,2023-12-06,2023-12-05
464,29,3,64,2023-03-29,2023-04-12,2023-04-12
465,14,3,4,2023-01-30,2023-02-13,2023-02-05
466,1,2,54,2021-08-26,2021-09-09,2021-09-01
467,7,0,37,2022-11-14,2022-11-28,2022-11-27
468,1,0,166,2022-03-13,2022-03-27,2022-03-19
469,1,3,194,2023-11-05,2023-11-19,2023-11-10
470,4,3,115,2022-12-22,2023-01-05,2022-12-29
471,1,3,67,2023-01-09,2023-01-23,2023-01-22
472,3,4,165,2022-01-20,2022-02-03,2022-01-27
473,2,4,0,2023-05-22,2023-06-05,2023-05-28
474,10,0,23,2022-04-23,2022-05-07,2022-05-03
475,22,0,118,2024-01-31,2024-02-14,2024-02-07
476,3,1,1,2023-03-04,2023-03-18,2023-03-12
477,7,2,129,2024-02-24,2024-03-09,2024-03-03
478,26,0,77,2024-03-22,2024-04-05,2024-03-31
479,22,1,49,2022-01-06,2022-01-20,2022-01-11
